error_rate,support,N,TBR,TBR_transformed,PBS,PBS_transformed,counter,counter_transformed,smoothed_estimates
0.025,0.775,10,303,0,0.12173913043478257,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'C': 8019, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'M': 7351, 'A': 23527, 'V': 2775, 'U': 7420, 'W': 6}",{},{}
0.025,0.8,10,303,0,0.12173913043478257,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'C': 8019, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'M': 7351, 'A': 23527, 'V': 2775, 'U': 7420, 'W': 6}",{},{}
0.025,0.8250000000000001,10,303,0,0.12173913043478257,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'C': 8019, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'M': 7351, 'A': 23527, 'V': 2775, 'U': 7420, 'W': 6}",{},{}
0.025,0.8500000000000001,10,303,0,0.12173913043478257,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'C': 8019, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'M': 7351, 'A': 23527, 'V': 2775, 'U': 7420, 'W': 6}",{},{}
0.025,0.875,10,303,0,0.12173913043478257,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'C': 8019, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'M': 7351, 'A': 23527, 'V': 2775, 'U': 7420, 'W': 6}",{},{}
0.025,0.9,10,303,0,0.12173913043478257,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'C': 8019, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'M': 7351, 'A': 23527, 'V': 2775, 'U': 7420, 'W': 6}",{},{}
0.025,0.925,10,303,0,0.12173913043478257,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'C': 8019, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'M': 7351, 'A': 23527, 'V': 2775, 'U': 7420, 'W': 6}",{},{}
0.025,0.9500000000000001,10,303,0,0.12173913043478257,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'C': 8019, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'M': 7351, 'A': 23527, 'V': 2775, 'U': 7420, 'W': 6}",{},{}
0.025,0.9750000000000001,10,303,0,0.12173913043478257,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'C': 8019, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'M': 7351, 'A': 23527, 'V': 2775, 'U': 7420, 'W': 6}",{},{}
0.025,1.0,10,303,0,0.12173913043478257,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'C': 8019, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'M': 7351, 'A': 23527, 'V': 2775, 'U': 7420, 'W': 6}",{},{}
